"Current Procedural Terminology (CPT) codes, descriptions and other data only are copyright 2025 American Medical Association. All rights reserved. 

CPT® is a registered trademark of the American Medical Association.

Applicable FARS/DFARS Restrictions Apply to Government Use. 

Fee schedules, relative value units, conversion factors and/or related components are not assigned by the AMA, are not part of CPT, and the AMA is not recommending their use.  The AMA does not directly or indirectly practice medicine or dispense medical services.  The AMA assumes no liability for the data contained or not contained herein.",,,
"HCPCS/
CPT Code",Practitioner Services MUE Values,MUE Adjudication Indicator,MUE Rationale
0268U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0269U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0270U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0271U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0272U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0273U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0274T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0274U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0275U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0276U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0277U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0278T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0278U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0279U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0280U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0281U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0282U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0283U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0284U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0285U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0286U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0287U,2,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0288U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0289U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0290U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0291U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0292U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0293U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0294U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0295U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0296U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0297U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0298U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0299U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0300U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0301U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0302U,1,3 Date of Service Edit: Clinical,Nature of Analyte
0303U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0304U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0305U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0306U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0307U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0308T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0308U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0309U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0310U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0311U,6,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0312U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0313U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0314U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0315U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0316U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0317U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0318U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0319U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0320U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0321U,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0322U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0323U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0326U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0327U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0328U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0329T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0329U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0330T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0330U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0331T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0331U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0332T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0332U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0333T,1,2 Date of Service Edit: Policy,CMS Policy
0333U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0334U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0335T,2,2 Date of Service Edit: Policy,Anatomic Consideration
0335U,2,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
0336U,1,3 Date of Service Edit: Clinical,Code Descriptor / CPT Instruction
0337U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0338T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0338U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0339T,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0339U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0340U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0341U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0342T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0342U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0343U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0344U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0345T,1,2 Date of Service Edit: Policy,Anatomic Consideration
0345U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0347T,1,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
0347U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0348T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0348U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0349T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0349U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0350T,1,3 Date of Service Edit: Clinical,Nature of Service/Procedure
0350U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0351T,5,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
0351U,1,2 Date of Service Edit: Policy,Code Descriptor / CPT Instruction
0352T,5,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
0353T,2,3 Date of Service Edit: Clinical,Clinical: CMS Workgroup
